postal code,x,y,inhabitants,inhabitantsIncreasing
3565,134302.487844188,459836.240013054,3.3065016844789136e-05,0.3692958253579288
3566,137260.182154024,459238.374095686,0.00024247679019512034,0.36953830214812394
3571,137522.054396559,457727.17348503,0.007351455411824785,0.37688975755994875
3572,137724.414843852,456761.468557619,0.008416883732379102,0.38530664129232783
3573,138634.545750784,457372.805338551,0.003637151852926805,0.3889437931452546
3581,137724.694266813,455798.53688913,0.007131021966192857,0.3960748151114475
3582,137596.399548669,454592.476173063,0.006660763948844745,0.4027355790602922
3583,138304.367361638,455443.078452875,0.00442336447568068,0.40715894353597293
3584,139976.237305264,455337.344653177,0.004985469762042095,0.41214441329801504
3585,138781.344699359,453563.779545029,0.00015062952118181718,0.4122950428191969
3601,131502.432477477,462650.75499496,0.0051912076446318945,0.41748625046382876
